stock,date,price,earnings_date,fiscal_date_ending,sector,sub_sector,market_cap_log,beta,daily_ret,drift_30d,drift_60d,vol_10d,vol_30d,vol_ratio_10_to_30,mom_5d,mom_20d,days_to_earnings,is_earnings_day,is_earnings_week,is_earnings_window,reaction_1d,reaction_3d,reaction_5d,is_up,is_down,is_nochange,reaction_std
MSFT,2025-05-28,455.741558243472,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.007228288002778416,0.0059484649110111976,0.0027630310839889686,0.010211286748701266,0.019797791953344353,0.5157790713613555,0.004369303686099002,0.16937607264017862,63.0,0,0,0,,,,0,0,0,
MSFT,2025-05-29,457.05688721164,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.0028861290886825763,0.0057624411005954505,0.0029994115950756186,0.01066661800882202,0.019897594110141678,0.5360757662347385,-0.00133349779544234,0.15478506861326724,62.0,0,0,0,,,,0,0,0,
MSFT,2025-05-30,458.730942262036,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.0036626842242961644,0.006037427109369749,0.0030423656088924317,0.010437546316356803,0.01979527326244181,0.5272746770392044,0.013775168779325386,0.1545750653296032,61.0,0,0,0,,,,0,0,0,
MSFT,2025-06-02,460.335245018665,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.003497263011555285,0.007379713785355346,0.0025711715118287033,0.010458470146714473,0.01809635621963004,0.5779323759868098,0.012377862283955543,0.0819841443320184,58.0,0,0,0,,,,0,0,0,
MSFT,2025-06-03,461.331706358186,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.0021646427257175915,0.007839839356762987,0.002801104865647064,0.01047226913198414,0.017804285417879664,0.588188117983524,0.026164005390483358,0.06225620753163308,57.0,0,0,0,,,,0,0,0,
MSFT,2025-06-04,462.228521563756,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.001943970451650845,0.008696883631570784,0.0029875177697854765,0.010057568292258895,0.016833713058133266,0.597465826910929,0.004982431047473201,0.062376189349428124,56.0,0,0,0,,,,0,0,0,
MSFT,2025-06-05,466.025039267332,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.008213508094939925,0.008046972614695872,0.003577153723542879,0.01002303585716872,0.01670056069460947,0.6001616377109966,0.014154689501902462,0.07087723617038544,55.0,0,0,0,,,,0,0,0,
MSFT,2025-06-06,468.715484884039,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.00577317824153134,0.0076328620645064885,0.003701331580119599,0.008994173640328788,0.016530777807305927,0.5440865363488058,0.01948206850815981,0.0789984316023361,54.0,0,0,0,,,,0,0,0,
MSFT,2025-06-09,471.077098258705,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.00503847952719183,0.006675876051867868,0.0036740133018522024,0.00901226277668185,0.015734651683589982,0.5727653180960428,0.021592562525394987,0.07364896071498672,51.0,0,0,0,,,,0,0,0,
MSFT,2025-06-10,469.253574007381,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.003870967741935405,0.006452225403867307,0.003953672465035124,0.007622226028953159,0.015707732219222583,0.4852531175458505,0.023133779041031532,0.07740939747339104,50.0,0,0,0,,,,0,0,0,
MSFT,2025-06-11,470.947558284567,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.003609954981737218,0.006381889075367678,0.0034583760031711595,0.004559427030169765,0.015750443373879836,0.2894792814360395,0.017098168573378536,0.04953733566449037,49.0,0,0,0,,,,0,0,0,
MSFT,2025-06-12,477.175441656575,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.0132241547120302,0.006256797040621154,0.0035125368409526956,0.003131724218452618,0.015757285872914042,0.19874769320748883,0.01876415310346491,0.05341439655371927,48.0,0,0,0,,,,0,0,0,
MSFT,2025-06-13,473.279277819047,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.008165055234196417,0.006594397785277273,0.003955047300457274,0.004423009921701242,0.01579568331280422,0.2800138388515223,0.023774799720555184,0.05817793764861312,47.0,0,0,0,,,,0,0,0,
MSFT,2025-06-16,477.444486218246,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.008800741115041033,0.0037804424367413603,0.0036320975202016213,0.005940975168063254,0.009027717204608798,0.6580816648787235,0.009836566244827427,0.047760928513237766,44.0,0,0,0,,,,0,0,0,
MSFT,2025-06-17,476.348378744773,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.002295779939056497,0.003299627146844708,0.0038208922969552397,0.006206890811219073,0.008312143109298549,0.7467256915097633,0.01359882783267663,0.05404583532024432,43.0,0,0,0,,,,0,0,0,
MSFT,2025-06-18,478.54059369172,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.00460212534515958,0.0031549457852787397,0.003592197422604772,0.00648154150639796,0.008372297563617483,0.7741652105825811,0.015174015635555538,0.04162391894250628,42.0,0,0,0,,,,0,0,0,
MSFT,2025-06-20,475.710643487479,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.005913709811761758,0.0035269191757609417,0.003591372206744353,0.006477572313147345,0.008171408641846952,0.7927118318345714,0.0161661859989779,0.04775153080890293,40.0,0,0,0,,,,0,0,0,
MSFT,2025-06-23,484.280211007362,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.01801424382069472,0.0033267184266025742,0.003404617981446356,0.006862754629910775,0.008330484524868335,0.8238121815632617,-0.0029716785248140587,0.05406035848322632,37.0,0,0,0,,,,0,0,0,
MSFT,2025-06-24,488.375667112795,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.00845679012345757,0.003556438249663041,0.003923754052412806,0.008492775757490696,0.008642070176093513,0.9827246926302672,0.023207620530077078,0.06701461158425503,36.0,0,0,0,,,,0,0,0,
MSFT,2025-06-25,490.528023606161,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.0044071738997366605,0.003795729828152043,0.004038630172988082,0.00863787937167638,0.008676127532132259,0.9955915631352552,0.022863669538493614,0.08576028180268513,35.0,0,0,0,,,,0,0,0,
MSFT,2025-06-26,495.689693344882,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.01052268064273787,0.0031425991559110894,0.004614754312377341,0.008224180637382126,0.007795445640398397,1.0549981382413716,0.02956662337728677,0.06682123863369405,34.0,0,0,0,,,,0,0,0,
MSFT,2025-06-27,494.185036722204,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.0030354809528612137,0.0035022587075854076,0.004940167521963288,0.008431388623341727,0.007881140897583374,1.0698182830263925,0.03548717867486506,0.08457220727921033,33.0,0,0,0,,,,0,0,0,
MSFT,2025-06-30,495.649834891301,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.002964068234061923,0.0031190555552521554,0.00458766793509387,0.008270873302840853,0.007911167336940693,1.0454681275948412,0.038365407533765605,0.07865059723766654,30.0,0,0,0,,,,0,0,0,
MSFT,2025-07-01,490.308802111466,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.010775818741080245,0.0031427926996815884,0.004639249488700531,0.0072004452431606485,0.007909544087714984,0.9103489611170257,0.02331523194713281,0.0779519812474323,29.0,0,0,0,,,,0,0,0,
MSFT,2025-07-02,489.352199225526,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.0019510212376780967,0.002699737598044431,0.004853487229942109,0.008492547336236281,0.008308100483161936,1.022200845241119,0.004082623082594994,0.06367889949479677,28.0,0,0,0,,,,0,0,0,
MSFT,2025-07-03,497.074774606816,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.015781221364718823,0.0022971656754991097,0.005413735524279356,0.00847070927791635,0.008228059034820679,1.0294905812013244,-0.0022755720548197633,0.05956323553140108,27.0,0,0,0,,,,0,0,0,
MSFT,2025-07-07,495.958737906552,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.0022452088846125484,0.002874055938364306,0.005768463305880486,0.009428847907031159,0.008551165933177724,1.102638865940855,0.00298296866716119,0.07340048644446906,23.0,0,0,0,,,,0,0,0,
MSFT,2025-07-08,494.862630433079,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.0022100779554761196,0.0032066335584133927,0.005884734545497087,0.009071482855260344,0.008127289552827243,1.1161756691816946,0.003773240735409855,0.06294176946491659,22.0,0,0,0,,,,0,0,0,
MSFT,2025-07-09,501.728249062381,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.013873786798759724,0.002964297935908655,0.004158952109055062,0.007821199624585254,0.008178348756338593,0.9563299215533537,-0.0014009054541281873,0.054958513267909126,21.0,0,0,0,,,,0,0,0,
MSFT,2025-07-10,499.705432543153,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.004031697483664165,0.0037697201656997303,0.004780290043745985,0.008464493034664148,0.008016331032190252,1.055906124718935,0.023248700085711782,0.06379382053947702,20.0,0,0,0,,,,0,0,0,
MSFT,2025-07-11,501.538921407872,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.00366913934753077,0.0028571230139533333,0.004402793962482265,0.008696537197137129,0.007230737103686684,1.2027179348981014,0.021168023839725714,0.06363309079774826,19.0,0,0,0,,,,0,0,0,
MSFT,2025-07-14,501.239983006015,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.0005960422792669062,0.003220370592296973,0.004491405846446211,0.008196222337827058,0.006975841572936866,1.17494387625211,0.009055941822537661,0.06369227516354181,16.0,0,0,0,,,,0,0,0,
MSFT,2025-07-15,504.030074756675,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.005566379070415239,0.0031042982133653234,0.0045708626613675364,0.008091661993900625,0.007010479126180319,1.1542238195507462,0.010705108427883303,0.049872078172244705,15.0,0,0,0,,,,0,0,0,
MSFT,2025-07-16,503.830782488771,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.00039539757225837135,0.003167754708235959,0.005273734246795653,0.00818712529061653,0.007024309894160666,1.165541585433541,0.018481565453774662,0.06360351247685636,14.0,0,0,0,,,,0,0,0,
MSFT,2025-07-17,509.88926743306,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.012024840789524482,0.0030379993554421705,0.005438919356102578,0.007000500387877352,0.007053904128313175,0.9924291938954105,0.004212381082756567,0.054407373789556956,13.0,0,0,0,,,,0,0,0,
MSFT,2025-07-18,508.24510622285,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.0032245456322060884,0.0033666726242357337,0.006031778127903259,0.007345160425020411,0.007239091969447949,1.0146521768227448,0.020268919355945214,0.06872799451813794,12.0,0,0,0,,,,0,0,0,
MSFT,2025-07-21,508.255070836245,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,1.960592098781966e-05,0.0031943887547738357,0.005620680684734854,0.006397043078812991,0.00733498642173371,0.872127460230659,0.013375234376208356,0.06090132354077227,9.0,0,0,1,,,,0,0,0,
MSFT,2025-07-22,503.482021019938,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.009391052033093983,0.002921258682308766,0.005277060373407627,0.006259086126260683,0.007294089327478528,0.8581038489179523,0.013990882576463082,0.06683463927352185,8.0,0,0,1,,,,0,0,0,
MSFT,2025-07-23,504.079897823651,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.0011874839194889741,0.0024157843398212547,0.004545830195844562,0.007197256123125865,0.007608305024553643,0.9459736564055681,-0.0009665485270461405,0.03942934341973314,7.0,0,0,1,,,,0,0,0,
