stock,sector,sub_sector,market_cap_log,beta
PSA,Real Estate,REIT - Industrial,24.616011183639067,0.991
PRU,Financial Services,Insurance - Life,24.364900044890305,0.961
PPL,Utilities,Utilities - Regulated Electric,24.01541506812369,0.716
PSX,Energy,Oil & Gas Refining & Marketing,24.763045261010046,0.897
PSKY,Communication Services,Entertainment,23.281467120980416,1.188
PTC,Technology,Software - Application,23.69862606313138,1.014
PYPL,Financial Services,Credit Services,24.717418417670498,1.427
PWR,Industrials,Engineering & Construction,24.974051526374495,1.156
QCOM,Technology,Semiconductors,25.833152398162166,1.212
Q,Technology,Semiconductor Equipment & Materials,23.736366228547006,
REG,Real Estate,REIT - Retail,23.2928316238201,0.95
RCL,Consumer Cyclical,Travel Services,25.098592985696275,1.941
REGN,Healthcare,Biotechnology,25.11430522565991,0.389
RJF,Financial Services,Asset Management,24.229396532628765,1.004
RF,Financial Services,Banks - Regional,23.907723184942327,1.039
RL,Consumer Cyclical,Apparel Manufacturing,23.80523205470079,1.508
ROK,Industrials,Specialty Industrial Machinery,24.574654159707514,1.516
RMD,Healthcare,Medical Instruments & Supplies,24.341482234733732,0.876
ROP,Technology,Software - Application,24.507700968000513,0.942
ROST,Consumer Cyclical,Apparel Retail,24.83130076472429,1.012
ROL,Consumer Cyclical,Personal Services,24.13435083171944,0.789
RSG,Industrials,Waste Management,24.941725893294784,0.561
RTX,Industrials,Aerospace & Defense,26.287200593943524,0.438
RVTY,Healthcare,Diagnostics & Research,23.32055398074019,1.055
SBAC,Real Estate,REIT - Specialty,23.722469275829308,0.869
SBUX,Consumer Cyclical,Restaurants,25.422325716216292,0.964
SCHW,Financial Services,Capital Markets,25.954880545864537,0.937
SJM,Consumer Defensive,Packaged Foods,23.12340631393193,0.22
SHW,Basic Materials,Specialty Chemicals,25.18466638610151,1.26
SMCI,Technology,Computer Hardware,23.650518094908954,1.532
SLB,Energy,Oil & Gas Equipment & Services,25.03159813353897,0.723
SNDK,Technology,Computer Hardware,24.988665081548245,
SNPS,Technology,Software - Infrastructure,25.285126114788795,1.119
SNA,Industrials,Tools & Accessories,23.68206890257841,0.789
SOLV,Healthcare,Medical Instruments & Supplies,23.34777157758911,
SO,Utilities,Utilities - Regulated Electric,25.299141570261533,0.447
SPG,Real Estate,REIT - Retail,24.966116704930595,1.4
SPGI,Financial Services,Financial Data & Stock Exchanges,25.820071607587934,1.207
SRE,Utilities,Utilities - Diversified,24.756628653324213,0.746
STE,Healthcare,Medical Devices,23.97800594476048,1.032
STLD,Basic Materials,Steel,23.980031431809703,1.484
